#{"t_start": 1613839960.7671032, "env_id": "sdnsampling-MTD-v1"}
r,l,t
14.991833,1,3.413545
9.408988,1,3.461845
19.174679,1,3.508361
12.041424,1,3.554343
15.553827,1,3.600268
9.234441,1,3.742378
16.322095,1,3.784885
18.796259,1,4.048227
14.603068,1,4.090746
11.278764,1,4.131744
17.565592,1,4.178417
15.858201,1,4.225192
9.986315,1,4.266541
17.790228,1,4.415177
20.876056,1,4.465179
16.351194,1,4.512018
13.850269,1,4.559789
15.881224,1,4.700564
15.44245,1,4.747447
9.123935,1,4.794964
11.52122,1,4.842046
16.584183,1,4.889278
9.676348,1,5.032476
14.603336,1,5.080492
11.410551,1,5.127025
11.666181,1,5.173989
11.94624,1,5.221492
11.253941,1,5.268433
9.790248,1,5.316614
10.615604,1,5.363623
13.229408,1,5.410639
14.141858,1,5.459521
15.258625,1,5.602671
18.990163,1,5.662995
14.162754,1,5.710779
15.156331,1,5.772642
12.354187,1,5.81952
17.15742,1,5.872612
13.898409,1,6.108005
15.59999,1,6.161251
18.295002,1,6.227345
12.577411,1,6.276383
9.688827,1,6.324397
9.933645,1,6.373624
15.81734,1,6.425316
9.147239,1,6.57608
6.660114,1,6.623762
12.599219,1,6.669705
11.145324,1,6.72479
13.060804,1,6.823274
14.236934,1,6.950054
